Tick,StoppedRobots,AvgDistance
1,0,1.57797
2,28,1.57849
3,32,1.57931
4,34,1.58066
5,42,1.58191
6,48,1.58377
7,53,1.58608
8,57,1.58877
9,62,1.59188
10,64,1.59529
11,66,1.59905
12,67,1.60294
13,67,1.60691
14,69,1.61121
15,72,1.61559
16,74,1.62008
17,75,1.62478
18,76,1.62952
19,76,1.63407
20,77,1.63849
21,77,1.64267
22,78,1.64569
23,78,1.6488
24,79,1.65151
25,80,1.65395
26,80,1.65699
27,81,1.65955
28,81,1.66214
29,81,1.66457
30,81,1.66643
31,82,1.66781
32,83,1.669
33,84,1.66979
34,84,1.67059
35,85,1.67115
36,85,1.67183
37,85,1.67253
38,87,1.67286
39,87,1.67288
40,88,1.67301
41,90,1.67299
42,90,1.67228
43,90,1.67163
44,90,1.67094
45,90,1.67018
46,90,1.66935
47,90,1.66846
48,90,1.66729
49,90,1.66596
50,91,1.66471
51,91,1.66336
52,91,1.66232
53,91,1.6611
54,91,1.65975
55,92,1.65828
56,92,1.65672
57,92,1.65519
58,92,1.65358
59,92,1.65204
60,92,1.65049
61,93,1.64894
62,93,1.64746
63,94,1.64621
64,94,1.64505
65,95,1.64398
66,95,1.64294
67,95,1.64221
68,95,1.64159
69,95,1.64103
70,95,1.64052
71,95,1.64007
72,95,1.63969
73,95,1.63936
74,95,1.6391
75,95,1.63893
76,95,1.6388
77,95,1.63867
78,95,1.63856
79,96,1.63846
80,97,1.63833
81,97,1.6384
82,97,1.63844
83,98,1.63842
84,98,1.63836
85,98,1.63801
86,99,1.63754
87,99,1.63705
88,99,1.63672
89,99,1.63642
90,99,1.63612
91,99,1.63582
92,99,1.63553
93,99,1.63524
94,99,1.63495
95,99,1.63466
96,99,1.63438
97,99,1.6341
98,99,1.63382
99,99,1.63354
100,99,1.63326
101,99,1.63299
102,71,1.63272
103,81,1.63197
104,83,1.63143
105,78,1.63116
106,82,1.63102
107,84,1.63123
108,83,1.63167
109,82,1.63257
110,84,1.63349
111,87,1.6349
112,88,1.6366
113,89,1.63788
114,89,1.63905
115,87,1.64005
116,86,1.64093
117,86,1.64182
118,88,1.64297
119,90,1.64424
120,90,1.64522
121,90,1.64627
122,90,1.64723
123,91,1.64843
124,90,1.64975
125,90,1.65079
126,91,1.6519
127,91,1.65318
128,91,1.65461
129,91,1.65559
130,91,1.65641
131,90,1.6572
132,89,1.65789
133,89,1.65818
134,89,1.65825
135,88,1.65817
136,89,1.65776
137,90,1.65716
138,88,1.65706
139,91,1.65686
140,90,1.6568
141,89,1.65747
142,91,1.65772
143,92,1.65794
144,92,1.65829
145,92,1.65876
146,92,1.65928
147,92,1.65987
148,92,1.66068
149,92,1.66151
150,91,1.66232
151,91,1.66281
152,91,1.66318
