Tick,StoppedRobots,AvgDistance
1,0,1.53381
2,6,1.53572
3,6,1.53793
4,7,1.5406
5,8,1.54343
6,10,1.54674
7,14,1.5508
8,14,1.55474
9,14,1.55927
10,16,1.56386
11,16,1.56878
12,10,1.57408
13,15,1.57928
14,15,1.58505
15,17,1.59084
16,17,1.59647
17,13,1.60255
18,15,1.60851
19,15,1.61494
20,13,1.62152
21,14,1.62793
22,15,1.63458
23,11,1.64156
24,15,1.64915
25,13,1.65746
26,15,1.66585
27,15,1.67357
28,14,1.6808
29,16,1.6882
30,18,1.6956
31,17,1.70185
32,17,1.70745
33,17,1.71233
34,13,1.71629
35,17,1.72065
36,14,1.72506
37,19,1.72942
38,18,1.73354
39,18,1.7372
40,19,1.74057
41,19,1.7441
42,18,1.74775
43,19,1.75077
44,19,1.75352
45,15,1.75591
46,19,1.75838
47,14,1.76111
48,19,1.76345
49,17,1.76636
50,17,1.76832
51,20,1.77034
52,20,1.77115
53,19,1.77167
54,20,1.77207
55,19,1.77229
56,15,1.77264
57,19,1.77309
58,14,1.77333
59,19,1.77405
60,16,1.77395
61,16,1.77418
62,19,1.77452
63,19,1.77453
64,19,1.77445
65,22,1.77426
66,23,1.7741
67,21,1.77375
68,25,1.7732
69,20,1.77319
70,26,1.77251
71,23,1.77194
72,24,1.77165
73,28,1.77135
74,28,1.77069
75,27,1.76972
76,27,1.76908
77,27,1.76989
78,25,1.77119
79,29,1.77324
80,23,1.77579
81,26,1.77756
82,23,1.77917
83,23,1.78156
84,25,1.78282
85,25,1.78413
86,24,1.78528
87,27,1.78657
88,27,1.78805
89,26,1.78894
90,29,1.79102
91,26,1.79361
92,28,1.79592
93,24,1.79858
94,26,1.80111
95,27,1.80275
96,28,1.80502
97,24,1.80743
98,26,1.81079
99,25,1.81405
100,23,1.81702
101,26,1.8201
102,24,1.82366
103,26,1.82629
104,22,1.82925
105,25,1.83168
106,26,1.83363
107,26,1.8357
108,23,1.83744
109,24,1.83939
110,26,1.84149
111,24,1.84292
112,26,1.84445
113,24,1.84659
114,24,1.84811
115,20,1.84891
116,22,1.8489
117,24,1.8484
118,24,1.84788
119,23,1.84706
120,23,1.84584
121,26,1.84434
122,24,1.84282
123,26,1.84039
124,25,1.83871
125,25,1.83658
126,22,1.8346
127,23,1.83274
128,25,1.83073
129,24,1.82868
130,22,1.82633
131,21,1.82379
132,26,1.82198
133,24,1.82044
134,26,1.81796
135,25,1.81603
136,24,1.81328
137,22,1.81031
138,23,1.8072
139,27,1.80375
140,28,1.80015
141,26,1.79715
142,23,1.79444
143,26,1.793
144,24,1.79199
145,28,1.79042
146,28,1.78936
147,27,1.78684
148,25,1.78412
