Tick,StoppedRobots,AvgDistance
1,0,1.57797
2,28,1.57849
3,32,1.57931
4,34,1.58066
5,42,1.58191
6,48,1.58377
7,53,1.58608
8,57,1.58877
9,62,1.59188
10,64,1.59529
11,66,1.59905
12,39,1.60294
13,49,1.60641
14,55,1.61037
15,51,1.61456
16,57,1.61877
17,60,1.62354
18,59,1.62825
19,58,1.63315
20,60,1.63796
21,60,1.64301
22,61,1.64731
23,48,1.65135
24,55,1.65509
25,56,1.65859
26,49,1.66275
27,54,1.66633
28,58,1.67058
29,58,1.67508
30,61,1.67914
31,63,1.68247
32,64,1.68541
33,65,1.68815
34,51,1.69098
35,57,1.69305
36,56,1.6952
37,49,1.69736
38,52,1.69877
39,56,1.70038
40,57,1.70212
41,60,1.70395
42,61,1.70505
43,62,1.70528
44,65,1.70511
45,56,1.70447
46,61,1.70356
47,59,1.70298
48,58,1.70235
49,60,1.7013
50,60,1.70135
51,60,1.70125
52,63,1.7008
53,64,1.70018
54,63,1.69942
55,64,1.69852
56,59,1.69745
57,64,1.69633
58,59,1.69569
59,57,1.69534
60,58,1.69514
61,59,1.69547
62,59,1.69549
63,64,1.69584
64,64,1.69605
65,67,1.69614
66,66,1.69623
67,62,1.69624
68,67,1.69622
69,64,1.6963
70,63,1.69661
71,64,1.69687
72,64,1.69707
73,61,1.69677
74,68,1.69655
75,67,1.69638
76,71,1.69611
77,71,1.69532
78,67,1.69501
79,71,1.69508
80,68,1.69459
81,66,1.69429
82,69,1.69424
83,72,1.69422
84,68,1.69366
85,73,1.6928
86,71,1.69195
87,74,1.69053
88,73,1.68906
89,69,1.68777
90,73,1.68659
91,71,1.68504
92,69,1.68364
93,72,1.68255
94,74,1.68184
95,71,1.6807
96,73,1.67949
97,69,1.67777
98,73,1.67552
99,73,1.67353
100,69,1.67185
101,72,1.67011
102,69,1.66805
103,65,1.66647
104,67,1.6656
105,70,1.66452
106,69,1.66344
107,72,1.66317
108,68,1.66298
109,71,1.6632
110,70,1.66343
111,68,1.6635
112,72,1.66348
113,72,1.66292
114,68,1.6629
115,68,1.66377
116,71,1.66413
117,71,1.66401
118,74,1.66431
119,71,1.6642
120,74,1.66438
121,73,1.66457
122,69,1.66483
123,70,1.66494
124,70,1.66422
125,66,1.66376
126,68,1.66415
127,72,1.66445
128,71,1.66478
129,72,1.66569
130,70,1.66664
131,71,1.66777
132,71,1.66856
133,67,1.66912
134,72,1.66971
135,75,1.66995
136,69,1.67009
137,69,1.67049
138,74,1.67041
139,74,1.66965
140,74,1.66957
141,74,1.66959
142,76,1.67032
143,76,1.67066
144,70,1.67079
145,72,1.67068
146,76,1.67035
147,70,1.66987
148,69,1.67005
149,75,1.67033
150,76,1.67014
151,75,1.66991
152,75,1.66956
