Tick,StoppedRobots,AvgDistance
1,0,1.53381
2,6,1.53572
3,6,1.53793
4,7,1.5406
5,8,1.54343
6,10,1.54674
7,14,1.5508
8,14,1.55474
9,14,1.55927
10,16,1.56386
11,16,1.56878
12,16,1.57408
13,17,1.57969
14,18,1.58557
15,21,1.59165
16,21,1.59752
17,21,1.60388
18,21,1.6104
19,21,1.6171
20,21,1.6239
21,21,1.6304
22,22,1.63708
23,23,1.6441
24,23,1.65134
25,23,1.65902
26,24,1.66647
27,25,1.67348
28,25,1.68016
29,25,1.68711
30,26,1.69412
31,26,1.70007
32,27,1.70534
33,27,1.71025
34,27,1.71403
35,28,1.7179
36,28,1.72137
37,28,1.72473
38,29,1.72758
39,29,1.72985
40,29,1.73186
41,29,1.73349
42,29,1.73493
43,31,1.73561
44,31,1.73589
45,31,1.73583
46,32,1.73578
47,32,1.73582
48,32,1.73565
49,32,1.73584
50,32,1.73531
51,32,1.73506
52,32,1.73416
53,32,1.73298
54,32,1.73166
55,32,1.73005
56,32,1.72831
57,32,1.72636
58,32,1.72394
59,32,1.72167
60,32,1.71862
61,33,1.71548
62,33,1.71231
63,33,1.70943
64,34,1.70663
65,34,1.70369
66,35,1.70066
67,35,1.69752
68,35,1.69452
69,35,1.69162
70,35,1.68879
71,36,1.68615
72,37,1.68351
73,38,1.68128
74,38,1.6789
75,39,1.67702
76,39,1.6752
77,39,1.67389
78,39,1.67266
79,39,1.6714
80,39,1.67011
81,39,1.66873
82,39,1.66724
83,39,1.66576
84,39,1.66426
85,39,1.66274
86,39,1.66119
87,39,1.65958
88,39,1.65793
89,39,1.65616
90,39,1.65441
91,39,1.65272
92,39,1.65107
93,41,1.6496
94,41,1.64824
95,42,1.64699
96,42,1.64578
97,42,1.64504
98,42,1.64447
99,42,1.644
100,42,1.64356
101,42,1.64318
102,43,1.64287
103,44,1.64267
104,44,1.64296
105,44,1.64316
106,44,1.64341
107,44,1.64379
108,44,1.64429
109,44,1.64497
110,44,1.64571
111,44,1.6465
112,44,1.64732
113,45,1.64818
114,45,1.64907
115,45,1.65004
116,45,1.65103
117,45,1.65206
118,45,1.65311
119,45,1.6542
120,45,1.65531
121,45,1.65646
122,45,1.65763
123,45,1.65883
124,45,1.66006
125,45,1.66132
126,45,1.66261
127,45,1.66393
128,45,1.66527
129,45,1.66665
130,45,1.66805
131,45,1.66948
132,45,1.67096
133,45,1.67248
134,45,1.67392
135,45,1.67525
136,45,1.67648
137,45,1.67769
138,46,1.67876
139,46,1.67969
140,46,1.67938
141,46,1.67886
142,46,1.67835
143,46,1.67839
144,46,1.6784
145,46,1.67836
146,46,1.67825
147,46,1.67807
148,46,1.6778
