Tick,StoppedRobots,AvgDistance
1,0,1.49491
2,3,1.49339
3,3,1.49203
4,3,1.49189
5,4,1.49215
6,4,1.49272
7,4,1.49447
8,4,1.49668
9,4,1.4992
10,4,1.50168
11,4,1.50432
12,4,1.50734
13,5,1.51062
14,5,1.51411
15,5,1.51837
16,5,1.52306
17,5,1.52815
18,5,1.5335
19,5,1.53901
20,6,1.54491
21,6,1.55001
22,6,1.55572
23,6,1.56162
24,6,1.56798
25,6,1.57427
26,6,1.57986
27,6,1.58513
28,7,1.58993
29,7,1.59492
30,7,1.60017
31,7,1.60504
32,7,1.60955
33,7,1.61391
34,7,1.61686
35,7,1.62065
36,7,1.62405
37,7,1.62748
38,7,1.63066
39,7,1.63366
40,7,1.63643
41,7,1.63898
42,7,1.64128
43,7,1.64337
44,7,1.64484
45,9,1.64553
46,9,1.64616
47,9,1.64707
48,9,1.64817
49,9,1.65071
50,9,1.65249
51,9,1.6549
52,9,1.65747
53,9,1.66003
54,9,1.66245
55,9,1.66493
56,9,1.66772
57,9,1.67052
58,10,1.67313
59,10,1.67585
60,10,1.67832
61,10,1.68115
62,10,1.68416
63,10,1.68725
64,10,1.69072
65,10,1.6945
66,11,1.6986
67,11,1.70297
68,11,1.70649
69,11,1.70978
70,11,1.71373
71,11,1.71753
72,11,1.72123
73,11,1.72357
74,11,1.72566
75,11,1.72751
76,11,1.72912
77,11,1.73114
78,11,1.73288
79,11,1.73383
80,11,1.7346
81,11,1.73529
82,11,1.73589
83,11,1.73662
84,11,1.73745
85,12,1.7382
86,12,1.73949
87,12,1.7405
88,12,1.74198
89,12,1.74391
90,13,1.74625
91,13,1.74884
92,13,1.75084
93,13,1.75302
94,13,1.75575
95,13,1.75871
96,13,1.76185
97,14,1.76515
98,14,1.76862
99,14,1.77165
100,14,1.77356
101,14,1.77536
102,11,1.77711
103,12,1.77781
104,12,1.77844
105,11,1.77813
106,11,1.77752
107,11,1.77678
108,11,1.77563
109,11,1.77361
110,11,1.77203
111,11,1.77
112,11,1.76816
113,11,1.76596
114,11,1.76367
115,11,1.76136
116,11,1.75889
117,11,1.75626
118,11,1.75347
119,11,1.75028
120,10,1.74705
121,10,1.74267
122,10,1.7385
123,11,1.73458
124,11,1.73092
125,11,1.72858
126,11,1.72667
127,11,1.72494
128,10,1.72341
129,11,1.72214
130,11,1.7211
131,11,1.72139
132,11,1.72185
133,11,1.72244
134,11,1.72315
135,11,1.72395
136,11,1.7248
137,11,1.72568
138,11,1.7265
139,11,1.72742
140,11,1.72846
141,11,1.7296
142,12,1.73085
143,14,1.7322
144,14,1.73408
145,12,1.73646
146,14,1.73903
147,14,1.7418
148,14,1.7447
149,14,1.74773
150,14,1.75086
151,14,1.75405
152,14,1.75729
153,15,1.76086
154,15,1.76457
155,15,1.76906
156,15,1.77364
157,15,1.77835
158,14,1.7832
159,14,1.78874
160,14,1.79439
161,14,1.80002
162,14,1.80559
163,14,1.81111
164,14,1.81656
165,14,1.82195
166,13,1.82731
167,13,1.83245
168,13,1.83769
169,13,1.84195
170,15,1.84612
171,16,1.85116
172,16,1.85607
173,16,1.86076
174,16,1.86533
175,16,1.86979
176,17,1.87412
177,17,1.87832
178,17,1.88188
179,17,1.88538
180,17,1.88896
181,17,1.89262
182,17,1.89635
183,17,1.89942
184,17,1.90242
185,16,1.90549
186,18,1.90946
187,18,1.9127
188,18,1.91591
189,18,1.91909
190,17,1.92095
191,17,1.92321
192,17,1.92591
193,17,1.92776
194,17,1.92938
195,17,1.93034
196,17,1.93042
197,16,1.93004
198,16,1.92966
199,16,1.92914
200,16,1.92845
201,16,1.92711
202,16,1.92574
203,15,1.92445
204,15,1.92392
205,15,1.92361
206,15,1.92338
207,15,1.92325
208,15,1.92303
209,15,1.9229
210,15,1.92286
