Tick,StoppedRobots,AvgDistance
1,0,1.57797
2,28,1.57849
3,32,1.57931
4,34,1.58066
5,42,1.58191
6,48,1.58377
7,53,1.58608
8,57,1.58877
9,62,1.59188
10,64,1.59529
11,66,1.59905
12,67,1.60294
13,67,1.60691
14,69,1.61121
15,72,1.61559
16,74,1.62008
17,75,1.62478
18,76,1.62952
19,76,1.63407
20,77,1.63849
21,77,1.64267
22,78,1.64569
23,78,1.6488
24,79,1.65151
25,80,1.65395
26,80,1.65699
27,81,1.65955
28,81,1.66214
29,81,1.66457
30,81,1.66643
31,82,1.66781
32,83,1.669
33,84,1.66979
34,84,1.67059
35,85,1.67115
36,85,1.67183
37,85,1.67253
38,87,1.67286
39,87,1.67288
40,88,1.67301
41,90,1.67299
42,90,1.67228
43,90,1.67163
44,90,1.67094
45,90,1.67018
46,90,1.66935
47,90,1.66846
48,90,1.66729
49,90,1.66596
50,91,1.66471
51,91,1.66336
52,63,1.66232
53,73,1.66062
54,75,1.65898
55,71,1.6575
56,75,1.65598
57,77,1.65485
58,76,1.6539
59,75,1.6534
60,77,1.65283
61,81,1.65275
62,82,1.65301
63,83,1.65309
64,83,1.65304
65,81,1.65273
66,82,1.65231
67,82,1.65184
68,83,1.65182
69,85,1.65216
70,85,1.65228
71,86,1.65252
72,86,1.65273
73,87,1.65334
74,86,1.65416
75,86,1.65473
76,87,1.65541
77,87,1.65636
78,87,1.65752
79,88,1.65817
80,89,1.65866
81,88,1.65924
82,87,1.66003
83,87,1.66045
84,87,1.66065
85,86,1.66068
86,86,1.66035
87,87,1.65984
88,85,1.65946
89,88,1.65898
90,87,1.65854
91,86,1.65882
92,88,1.65848
93,89,1.65809
94,89,1.658
95,90,1.65801
96,90,1.65804
97,90,1.65833
98,90,1.65871
99,90,1.65913
100,89,1.65953
101,89,1.6597
102,89,1.65992
103,75,1.66013
104,83,1.65994
105,81,1.65989
106,75,1.65997
107,77,1.65938
108,80,1.65848
109,80,1.65801
110,80,1.65779
111,76,1.65742
112,82,1.65702
113,83,1.65672
114,82,1.65655
115,82,1.6562
116,80,1.65588
117,81,1.65548
118,81,1.65491
119,80,1.65504
120,82,1.65535
121,82,1.65547
122,83,1.65588
123,83,1.65624
124,84,1.65659
125,84,1.65702
126,83,1.65704
127,86,1.65657
128,86,1.6563
129,85,1.65613
130,84,1.65577
131,86,1.65539
132,87,1.65494
133,87,1.65495
134,89,1.65483
135,89,1.65488
136,89,1.65464
137,88,1.65433
138,89,1.65398
139,86,1.65357
140,91,1.65297
141,90,1.65235
142,89,1.65229
143,90,1.65219
144,91,1.65193
145,91,1.65182
146,91,1.65159
147,92,1.65117
148,92,1.65067
149,92,1.6499
150,92,1.64904
151,92,1.6482
152,92,1.64745
