ExpNumber, StoppingDistance, MaxStopTime, NumRobots, NumObstacles, CSVFile
1, 0.01, 150, 100, 0, stop_and_go_dataA.csv
2, 0.05, 150, 100, 0, stop_and_go_dataB.csv
3, 0.1, 150, 100, 0, stop_and_go_dataC.csv
4, 0.01, 100, 100, 0, stop_and_go_dataD.csv
5, 0.05, 100, 100, 0, stop_and_go_dataE.csv
6, 0.1, 100, 100, 0, stop_and_go_dataF.csv
7, 0.01, 150, 50, 0, stop_and_go_dataG.csv
8, 0.05, 150, 50, 0, stop_and_go_dataH.csv
9, 0.1, 150, 50, 0, stop_and_go_dataI.csv
10, 0.01, 100, 25, 0, stop_and_go_dataJ.csv
11, 0.05, 100, 25, 0, stop_and_go_dataK.csv
12, 0.1, 100, 25, 0, stop_and_go_dataL.csv
13, 0.01, 150, 25, 3, stop_and_go_dataM.csv   
14, 0.05, 150, 25, 3, stop_and_go_dataN.csv
15, 0.1, 150, 25, 3, stop_and_go_dataO.csv
16, 0.01, 100, 50, 3, stop_and_go_dataP.csv
17, 0.05, 100, 50, 3, stop_and_go_dataQ.csv
18, 0.1, 100, 50, 3, stop_and_go_dataR.csv
19, 0.1, 50, 100, 0, stop_and_go_dataS.csv
20, 0.1, 200, 100, 0, stop_and_go_dataT.csv
21, 0.1, 10, 50, 0, stop_and_go_dataU.csv
22, 0.1, 10, 100, 0, stop_and_go_dataV.csv
